"UTMX","UTMY"
808055.2553,7529806.474
699310.9568,7627012.92
691298.052,7461941.23
578718.1978,7483951.047
750419.1656,7418637.072
545201.629,7603823.209
436202.433,7602099.759
352785.1498,7547818.959
360103.5983,7536725.485
533658.9454,7581006.235
415549.2124,7672789.779
411613.7511,7670334.178
695143.555,7461836.538
676686.6037,7675805.661
687933.2239,7659072.778
670799.1127,7710189.394
696454.5552,7612064.556
693174.7463,7585747.812
703626.9764,7540796.156
846827.9761,7650251.666
860295.2767,7641922.815
309511.4243,7579899.791
854425.0716,7642450.216
702432.5671,7608889.721
711173.3256,7602586.4
709248.583,7609012.983
711147.589,7609298.29
670709.3175,7701333.107
681823.7535,7670213.948
702722.9501,7572068.948
721681.0426,7458284.033
729867.0705,7468160.649
304844.7909,7594649.588
305655.4537,7594349.382
705781.7008,7522083.044
686899.8489,7434218.56
379626.0444,7605284.309
427621.6592,7587064.716
420126.3267,7593604.081
938188.9008,7592820.14
656319.8866,7499718.022
386232.0217,7412967.105
376094.5803,7447144.613
397369.5881,7444415.863
424695.7478,7604817.134
841484.6213,7716876.357
532618.5191,7532770.17
541166.2473,7520761.762
442646.0444,7608333.608
475776.9209,7599164.552
744631.3554,7658760.393
471580.5701,7603363.616
367499.7389,7576237.98
770732.2536,7687212.468
769488.8622,7686933.459
507544.434,7699099.593
580209.0121,7598616.778
796831.1081,7551326.4
778965.1191,7555255.666
770156.0899,7641222.302
749316.4541,7651822.24
749949.6942,7649752.217
444667.0021,7485138.961
412441.0559,7503675.051
731994.2305,7438514.179
708821.1133,7443597.611
417610.5304,7669911.296
571555.1698,7560457.766
629741.5082,7487354.923
633532.1257,7499136.384
635113.6919,7497793.829
353511.7422,7584020.203
771494.5329,7684153.448
630249.0109,7486641.965
836152.3912,7397431.276
828442.1034,7400655.285
824931.5583,7421921.878
890846.3953,7501962.593
889042.6475,7495452.055
883421.3,7494728.64
448601.7769,7581080.506
764644.3975,7628505.386
467190.5557,7584882.014
376735.8655,7596217.721
380319.3972,7601127.009
379181.6249,7572456.513
503618.1687,7684503.377
510296.5013,7707022.1
511967.4154,7685086.036
601241.0199,7582767.264
588589.2474,7589617.382
582078.4314,7579999.654
785078.0484,7488054.756
706644.8604,7525793.058
632642.2795,7502033.97
803596.2758,7742585.263
877055.519,7682787.819
905622.7436,7701829.248
677176.0057,7632529.192
500718.5865,7712337.344
483553.9919,7703520.048
822421.1712,7402207.955
876525.6842,7505404.101
447163.702,7572375.614
583934.5168,7489580.296
797259.1903,7682362.164
833540.713,7705141.224
851631.8036,7699972.972
549003.8365,7477522.326
548044.9064,7525280.415
549372.2062,7531519.419
552434.864,7487385.37
562955.0692,7493345.564
550742.5745,7478811.812
674504.3848,7668997.249
676252.7865,7645948.155
698562.6525,7669711.648
675446.0394,7662742.551
581892.9169,7418647.909
777610.2098,7643645.739
692322.538,7664038.313
682941.7256,7669803.022
538079.6256,7475682.865
566793.0015,7511196.422
589094.1471,7420997.753
586012.7922,7409855.721
601146.486,7414531.67
605921.0238,7418982.449
