"UTMX","UTMY"
689847.7533,7595532.95
703626.9764,7540796.156
693253.882,7640773.221
688325.9561,7648028.385
704164.9839,7557995.049
734801.0191,7474433.958
702621.9941,7572495.965
303258.482,7595759.737
744592.7521,7472958.853
687619.9038,7432858.237
802034.3632,7418038.769
421978.4329,7591244.411
982229.7199,7593896.247
768347.2821,7411795.249
821633.0312,7410141.614
713742.0913,7469736.998
788668.3683,7419258.91
512023.8416,7662541.815
762449.7344,7417253.821
841742.9522,7333356.151
839381.0216,7332946.737
799201.2614,7517787.761
785760.0057,7521433.336
794571.9757,7519816.238
857568.6175,7470834.282
859473.2728,7476156.978
856755.9352,7480867.867
432548.6956,7582935.425
443607.3084,7573569.865
822501.4259,7567735.635
650038.0175,7499725.467
665175.8524,7497166.711
655407.3937,7499970.918
530864.0307,7515494.609
974560.5968,7597056.805
376094.5803,7447144.613
530789.2715,7534832.764
508446.9546,7714249.816
980537.6895,7595268.587
979727.1809,7595237.354
670709.3175,7701333.107
676686.6037,7675805.661
837237.2174,7736381.312
903978.4528,7707237.537
818550.1974,7742679.723
694404.2506,7462577.109
354575.9729,7537139.891
352785.1498,7547818.959
350383.7797,7544419.103
341687.2338,7537722.905
731265.9746,7496797.999
808055.2553,7529806.474
850761.5803,7493948.539
729747.6967,7510114.256
860295.2767,7641922.815
310039.5657,7578953.738
325374.1543,7554956.487
309337.191,7579775.885
855651.3357,7648676.971
718635.7166,7752638.131
635113.6919,7497793.829
853709.0583,7412545.456
860097.56,7408719.655
919330.6477,7515826.204
884025.947,7484785.078
563909.2669,7416002.025
471580.5701,7603363.616
475776.9209,7599164.552
394283.4405,7570505.508
380319.3972,7601127.009
366080.99,7577864.615
379181.6249,7572456.513
341228.7642,7589471.773
331153.304,7590752.411
434196.2227,7694921.502
785078.0484,7488054.756
784108.4607,7554121.839
380386.7336,7520298.509
836923.5173,7412350.484
874638.2568,7483055.52
889042.6475,7495452.055
477079.747,7718784.887
529182.3277,7534835.861
536536.2288,7521293.657
541166.2473,7520761.762
677562.5778,7748416.189
589564.146,7686487.892
620521.7762,7720873.296
589333.6906,7692012.253
603811.7211,7735571.907
612327.2523,7729884.111
576971.4208,7477627.594
581166.073,7478956.361
844881.0653,7647144.168
747371.8098,7484059.703
385121.3623,7572290.397
376735.8655,7596217.721
351690.6788,7511291.307
510296.5013,7707022.1
580209.0121,7598616.778
796831.1081,7551326.4
778965.1191,7555255.666
420370.4259,7670655.313
497413.6796,7602901.569
483553.9919,7703520.048
588806.8277,7493704.246
608975.1733,7680860.009
588360.968,7683162.715
818434.3689,7629612.742
803596.2758,7742585.263
905622.7436,7701829.248
697618.8199,7749049.89
612671.2043,7424623.798
778045.8498,7693773.061
362262.0792,7516493.816
346429.3058,7470811.059
839281.5152,7702288.61
700691.7309,7743909.77
730825.77,7750939.722
700685.8109,7751450.36
318888.8979,7590584.741
682941.7256,7669803.022
566793.0015,7511196.422
539164.872,7474728.081
538079.6256,7475682.865
549003.8365,7477522.326
589533.1149,7419190.412
586012.7922,7409855.721
618258.3049,7423628.026
601146.486,7414531.67
