id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC01797,Port Hedland 5,-22.31,119.99,30/4/2001,2001,M,Ningaui timealeyi,Nt,WAM_M48882,Chichester,808055.2553,7529806.474,1,30
DEC01800,Port Hedland,-21.4483,118.9233,18/11/2001,2001,M,Ningaui timealeyi,Nt,WAM_M49522,Chichester,699310.9568,7627012.92,2,47
DEC01803,Newman 3,-22.9397,118.8656,2/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55292,Hamersley,691298.052,7461941.23,3,9
DEC01804,Tom Price,-22.75,117.7667,6/11/1996,1996,M,Ningaui timealeyi,Nt,WAM_M47330,Hamersley,578718.1978,7483951.047,4,16
DEC01806,Newman 2,-23.3227,119.4489,21/6/1997,1997,NA,Ningaui timealeyi,Nt,WAM_M47667,Hamersley,750419.1656,7418637.072,5,5
DEC01807,Millstream,-21.6683,117.4369,7/7/1997,1997,M,Ningaui timealeyi,Nt,WAM_M47726,Chichester,545201.629,7603823.209,6,45
DEC01808,Newman,-22.9166,118.9,19/6/2005,2005,F,Ningaui timealeyi,Nt,WAM_M47492b,Hamersley,694859.376,7464454.15,7,9
DEC01809,Pannawonica,-21.6833,116.3833,16/5/1994,1994,M,Ningaui timealeyi,Nt,WAM_M44942,Chichester,436202.433,7602099.759,8,43
DEC01811,Cane River 2,-22.1686,115.5722,7/5/1999,1999,M,Ningaui timealeyi,Nt,WAM_M48583,Hamersley,352785.1498,7547818.959,9,37
DEC01812,Cane River,-22.2694,115.6422,4/5/1999,1999,M,Ningaui timealeyi,Nt,WAM_M48531,Hamersley,360103.5983,7536725.485,10,31
DEC01814,Mount Leal,-21.8747,117.3258,22/9/1999,1999,M,Ningaui timealeyi,Nt,WAM_M51360,Hamersley,533658.9454,7581006.235,11,76
DEC01815,Cape Preston 2,-21.0438,116.1872,18/4/2000,2000,M,Ningaui timealeyi,Nt,WAM_M52360,Roebourne,415549.2124,7672789.779,12,53
DEC01816,Cape Preston,-21.0658,116.1492,18/4/2000,2000,M,Ningaui timealeyi,Nt,WAM_M52361,Roebourne,411613.7511,7670334.178,13,53
DEC01822,Newman,-22.9344,118.895,2/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55286,Hamersley,694321.0517,7462489.574,14,9
DEC01823,Newman,-22.9402,118.9031,3/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55288,Hamersley,695143.555,7461836.538,15,9
DEC01824,Newman 3,-22.9383,118.8628,4/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55290,Hamersley,691012.8351,7462099.909,16,9
DEC02090,Port Hedland 10,-21.01,118.7,3/5/2001,2001,F,Ningaui timealeyi,Nt,WAM_M48897,Chichester,676686.6037,7675805.661,17,70
DEC02091,Port Hedland 9,-21.16,118.81,3/5/2001,2001,M,Ningaui timealeyi,Nt,WAM_M48902,Chichester,687933.2239,7659072.778,18,69
DEC02092,Port Hedland 8,-20.7,118.64,4/5/2001,2001,F,Ningaui timealeyi,Nt,WAM_M48915,Chichester,670799.1127,7710189.394,19,64
DEC02094,Port Hedland 7,-21.5836,118.8975,24/6/2001,2001,F,Ningaui timealeyi,Nt,WAM_M48945,Chichester,696454.5552,7612064.556,20,44
DEC02095,Port Hedland 6,-21.8216,118.8689,24/6/2001,2001,F,Ningaui timealeyi,Nt,WAM_M48950,Chichester,693174.7463,7585747.812,21,78
DEC02096,Port Hedland 4,-22.2263,118.9756,24/6/2001,2001,M,Ningaui timealeyi,Nt,WAM_M48951,Fortescue,703626.9764,7540796.156,22,34
DEC02097,Meentheena 3,-21.2163,120.3406,25/5/2000,2000,M,Ningaui timealeyi,Nt,WAM_M51613,Chichester,846827.9761,7650251.666,23,68
DEC02098,Meentheena 2,-21.2888,120.4719,27/5/2000,2000,M,Ningaui timealeyi,Nt,WAM_M51640,Chichester,860295.2767,7641922.815,24,49
DEC02099,Mount Minnie,-21.8747,115.1564,24/6/2000,2000,M,Ningaui timealeyi,Nt,WAM_M51676,Cape Range,309511.4243,7579899.791,25,71
DEC02101,Meentheena,-21.2852,120.4153,28/9/2000,2000,F,Ningaui timealeyi,Nt,WAM_M51722,Chichester,854425.0716,7642450.216,26,49
DEC02102,Meentheena 2,-21.2813,120.4806,29/9/2000,2000,F,Ningaui timealeyi,Nt,WAM_M51732,Chichester,861217.2918,7642734.094,27,49
DEC02104,Woodstock 3,-21.6116,118.9556,7/5/1988,1988,F,Ningaui timealeyi,Nt,WAM_M28212,Chichester,702432.5671,7608889.721,28,44
DEC02105,Woodstock 2,-21.6675,119.0408,8/5/1988,1988,F,Ningaui timealeyi,Nt,WAM_M28213,Chichester,711173.3256,7602586.4,29,44
DEC02106,Woodstock,-21.6097,119.0214,25/9/1988,1988,M,Ningaui timealeyi,Nt,WAM_M28214,Chichester,709248.583,7609012.983,30,44
