"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"ASCII_5kmb29.PersistForest.VRM",8875.40779348839,8877.99602878251,0.451600506975766,2.796,0.633472799618805,-4427.7038967442,0.593460061144834,454,45.4,10
"ASCII_5kmb29.Spinifex.VRM",8876.21694529969,8878.8051805938,0.357503480579168,2.796,0.632224097512416,-4428.10847264984,0.593741548211609,355,35.5,10
"ASCII_5kmb29.Dist2Water.PersistForest.VRM",8915.22664715406,8919.66567154431,0.000561421233970042,6.071,0.626410098564064,-4444.61332357703,0.596488469127281,1,0.1,13
"ASCII_5kmb29.Dist2Water.Spinifex.VRM",8923.29012544902,8927.72914983927,0.000338200344145393,7.255,0.6332847761762,-4448.64506272451,0.595956064999068,0,0,13
"ASCII_5kmb29.PersistForest.Spinifex.VRM",8947.91491517611,8952.35393956636,3.3436471395383e-05,9.777,0.61928266201493,-4460.95745758806,0.599400050509233,0,0,13
"ASCII_5kmb29.VRM",8981.35300475798,8982.6257320307,2.31615656755837e-12,13.999,0.625577990782655,-4483.67650237899,0.601404892992164,0,0,7
"ASCII_5kmb29.DEM.VRM",8982.22799965676,8984.81623495087,2.0935268970966e-12,14.386,0.626528732679128,-4481.11399982838,0.600972815357322,0,0,10
"ASCII_5kmb29.Clay.PersistForest.VRM",8983.2664675089,8987.70549189914,2.74910032151927e-11,15.37,0.619556972064297,-4478.63323375445,0.601533746052404,0,0,13
"ASCII_5kmb29.DEM.PersistForest.VRM",8987.6964395457,8992.13546393595,4.36148136053592e-13,16.394,0.625357803109846,-4480.84821977285,0.601093388744565,0,0,13
"Clay.PersistForest.VRM",8996.76158095296,8999.34981624708,0.0483860289141816,17.202,0.634364159807445,-4488.38079047648,0.600581888474763,48,4.8,10
"ASCII_5kmb29.Clay.PersistForest",9007.51690761053,9010.10514290465,0.0981609060780576,17.681,0.623731090920692,-4493.75845380527,0.602080892299061,99,9.9,10
"ASCII_5kmb29.Clay.PersistForest.Spinifex",9017.84181872745,9022.28084311769,0.000425259565117592,19.876,0.620253595759387,-4495.92090936372,0.602810478611791,0,0,13
"DEM.PersistForest.VRM",9025.57591664445,9028.16415193857,0.00259672533715065,21.445,0.635249362981733,-4502.78795832222,0.602676670874531,2,0.2,10
"ASCII_5kmb29.Clay.Dist2Water.PersistForest",9034.87902939855,9039.31805378879,0.00110319077408259,22.397,0.600280569961244,-4504.43951469928,0.606170029927296,2,0.2,13
"DEM.PersistForest.Spinifex.VRM",9028.51548125688,9032.95450564712,0.00221942596107801,23.016,0.635679635114305,-4501.25774062844,0.602386779103473,3,0.3,13
"ASCII_5kmb29.PersistForest",9052.7257660361,9053.99849330883,0.0363278960730015,24.264,0.612087893127194,-4519.36288301805,0.606843498980832,35,3.5,7
