"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"ASCII_5kmb29.PersistForest.VRM",-7806.88274736028,10,15633.7654947207,15635.6458366011,0.634152197378382,0.933492856497548,-7806.88274736036,0,0.662866838769298
"ASCII_5kmb29.Spinifex.VRM",-7807.55884015033,10,15635.1176869888,15636.9980288691,0.63295538208192,0.931250866707357,-7807.55884349438,1.35219226804475,0.337133161230702
"ASCII_5kmb29.Dist2Water.PersistForest.VRM",-7839.34142064924,13,15704.6828412986,15707.8758237547,0.627033956609171,0.924536010257689,-7839.3414206493,72.2299871536779,1.37051523844755e-16
"ASCII_5kmb29.Dist2Water.Spinifex.VRM",-7845.04332635084,13,15716.0866527022,15719.2796351583,0.63387057349051,0.935487632530245,-7845.04332635108,83.6337985572482,4.57696599814637e-19
"ASCII_5kmb29.PersistForest.Spinifex.VRM",-7870.45396844148,13,15766.9079348622,15770.1009173183,0.619879851798627,0.915264668299754,-7870.45396743108,134.455080717236,4.21576586880676e-30
"ASCII_5kmb29.DEM.VRM",-7905.15040874045,10,15830.3008174811,15832.1811593614,0.627077303280923,0.927468604634344,-7905.15040874055,196.535322760383,1.39419398963344e-43
"ASCII_5kmb29.Clay.PersistForest.VRM",-7901.95892251289,13,15829.9178450259,15833.110827482,0.620133479272894,0.917319475527186,-7901.95892251293,197.464990880933,8.75887520808709e-44
"ASCII_5kmb29.VRM",-7909.89301644267,7,15833.7860328853,15834.7193662186,0.626125696684033,0.926402797769268,-7909.89301644264,199.073529617544,3.91884954572906e-44
"ASCII_5kmb29.DEM.PersistForest.VRM",-7904.95134277237,13,15835.9026855447,15839.0956680008,0.625905736585618,0.925767746690846,-7904.95134277233,203.449831399732,4.393966409902e-45
"Clay.PersistForest.VRM",-7917.15945260049,10,15854.3189052012,15856.1992470815,0.634887879143222,0.94061933471016,-7917.15945260058,220.553410480445,8.48910147182748e-49
"ASCII_5kmb29.Clay.PersistForest",-7918.40266923822,10,15856.8053384765,15858.6856803568,0.625513728656636,0.932975808284623,-7918.40266923823,223.039843755745,2.44872265517846e-49
"ASCII_5kmb29.Clay.PersistForest.Spinifex",-7923.77335744677,13,15873.5467148935,15876.7396973496,0.622061354649943,0.928291373654553,-7923.77335744674,241.093860748571,2.9414374749813e-53
"DEM.PersistForest.VRM",-7943.92719452707,10,15907.8543890541,15909.7347309344,0.635732372094846,0.939160003039668,-7943.92719452705,274.088894333378,2.01270030840345e-60
"DEM.PersistForest.Spinifex.VRM",-7941.13802614788,13,15908.2760522959,15911.469034752,0.636156437210905,0.939949886110144,-7941.13802614794,275.823198150962,8.45628914194568e-61
"ASCII_5kmb29.Clay.Dist2Water.PersistForest",-7945.99288235085,13,15917.9857647017,15921.1787471578,0.601785771674381,0.900277956788395,-7945.99288235083,285.532910556747,6.58783274904573e-63
"Clay.VRM",-7960.7275188984,7,15935.455037797,15936.3883711304,0.634878817206401,0.940892941879499,-7960.72751889851,300.742534529296,3.28106386039667e-66
"Clay.Dist2Water.PersistForest.VRM",-7958.52015674427,13,15943.0403134885,15946.2332959447,0.633975933818706,0.938487196833025,-7958.52015674427,310.587459343613,2.38900150023168e-68
"DEM.VRM",-7967.06934164896,7,15948.1386832981,15949.0720166315,0.636411359205764,0.940756469329489,-7967.06934164907,313.426180030405,5.77824640154766e-69
"Clay.DEM.VRM",-7964.36857815502,10,15948.7371563104,15950.6174981907,0.636089747273645,0.941012925890758,-7964.36857815518,314.971661589641,2.66808094366454e-69
"ASCII_5kmb29.PersistForest",-7968.50510010458,7,15951.0102002091,15951.9435335424,0.613827202586229,0.918059107707393,-7968.50510010454,316.297696941359,1.3748460901802e-69
"PersistForest.VRM",-7970.88580624291,7,15955.7716128528,15956.7049461861,0.634350423524868,0.938887826089443,-7970.8858064264,321.059109585076,1.27152956995971e-70
"Clay.Spinifex.VRM",-7967.50295963204,10,15955.0059192641,15956.8862611445,0.634544942563318,0.939914515572462,-7967.50295963206,321.240424543395,1.161326727796e-70
"Dist2Water.PersistForest.VRM",-7968.80443048189,10,15957.6088609639,15959.4892028443,0.636175426766812,0.941362096767388,-7968.80443048196,323.843366243198,3.16033275891141e-71
"Clay.PersistForest.Spinifex.VRM",-7967.53382684587,13,15961.0676536916,15964.2606361477,0.631645260969859,0.935697195389985,-7967.53382684579,328.614799546667,2.90823325158917e-72
"ASCII_5kmb29.DEM.PersistForest",-7972.44258519711,10,15964.8851703941,15966.7655122745,0.612342478525068,0.916036108977196,-7972.44258519707,331.11967567343,8.31193801418149e-73
"ASCII_5kmb29.PersistForest.Spinifex",-7972.51118347074,10,15965.0223669414,15966.9027088218,0.612962694659298,0.917027611986046,-7972.51118347072,331.256872220716,7.7608706319202e-73
"DEM.Dist2Water.VRM",-7972.70712007147,10,15965.4142401428,15967.2945820231,0.633555549692865,0.936621105852541,-7972.70712007139,331.648745422064,6.37993508195523e-73
"ASCII_5kmb29.Dist2Water.PersistForest",-7972.74283842268,10,15965.485676845,15967.3660187253,0.613002454910157,0.916823210520865,-7972.7428384225,331.720182124291,6.15607605768317e-73
"Dist2Water.Spinifex.VRM",-7973.10831364449,10,15966.2166272893,15968.0969691696,0.63551224714471,0.940551419831621,-7973.10831364463,332.45113256854,4.27149698951379e-73
