"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"ASCII_5kmb29.WeatheringIndex",1050.39335138294,1054.12668471628,0.426128651517635,5.299,0.5662851239796,-518.196675691472,0.450541750470928,444,44.4,7
"ASCII_5kmb29.Spinifex",1057.22438834264,1060.95772167597,0.196776944525506,5.387,0.33072579359561,-521.612194171319,0.444669801048498,225,22.5,7
"ASCII_5kmb29.Dist2Water.Spinifex",1063.36316491116,1071.51131305931,0.00100394816554739,9.531,0.351979839538434,-521.681582455581,0.444608607532113,0,0,10
"ASCII_5kmb29.Spinifex.WeatheringIndex",1063.54630831331,1071.69445646146,0.000941619739078539,10.278,0.351440266698117,-521.773154156656,0.444556086279443,0,0,10
"ASCII_5kmb29.Spinifex.VRM",1063.93914463696,1072.0872927851,0.000826076342330794,11.045,0.369873020909527,-521.969572318478,0.444553496243476,0,0,10
"DEM.VRM.WeatheringIndex",1062.75589716993,1070.90404531808,0.00191326824742156,12.316,0.516201701777276,-521.377948584967,0.451325460380143,6,0.6,10
"VRM.WeatheringIndex",1062.43068670662,1066.16402003996,0.154692903251683,13.522,0.516343687724895,-524.215343353312,0.454160093224525,163,16.3,7
"ASCII_5kmb29.VRM",1069.6761616734,1073.40949500673,0.00796759347751814,14.788,0.266289843155895,-527.838080836698,0.449973503802267,8,0.8,7
"DEM",1071.53733898832,1072.74946020044,0.00498557231221657,16.609,0.368306514909819,-531.768669494158,0.447703146400002,1,0.1,4
"Dist2Water.WeatheringIndex",1066.69087910412,1070.42421243745,0.0371207274852627,17.322,0.418832266421996,-526.345439552058,0.454626789890727,26,2.6,7
"ASCII_5kmb29.Dist2Water.Spinifex.WeatheringIndex",1071.03633713026,1086.20300379692,9.96321660137829e-07,18.236,0.299670161772007,-522.518168565128,0.445628502859208,0,0,13
"ASCII_5kmb29.DEM",1071.80356547116,1075.53689880449,0.00330336893072572,18.352,0.367355699953674,-528.90178273558,0.446756999884636,2,0.2,7
"ASCII_5kmb29.DEM.Spinifex.VRM",1070.53370722388,1085.70037389055,9.74724604896489e-07,18.778,0.364972253706632,-522.266853611941,0.44484825742928,0,0,13
"ASCII_5kmb29",1070.95292191162,1072.16504312374,0.0385918440538738,19.029,0.330350507548489,-531.47646095581,0.449083863059053,20,2,4
"ASCII_5kmb29.Dist2Water.Spinifex.VRM",1071.19808834084,1086.3647550075,1.1886051652503e-06,19.507,0.324768955068481,-522.599044170418,0.445444804553658,0,0,13
"VRM",1072.8849236495,1074.09704486162,0.0267386457853856,20.839,0.220895268039659,-532.442461824751,0.452759741658177,27,2.7,4
"Spinifex.WeatheringIndex",1069.27855530687,1073.0118886402,0.0505587821891472,20.942,0.409527494560175,-527.639277653434,0.455899719526828,41,4.1,7
"WeatheringIndex",1074.66167762042,1075.87379883254,0.00302929197803166,24.476,0.221907399964688,-533.330838810211,0.456267819085092,1,0.1,4
"DEM.Dist2Water",1077.48266605953,1081.21599939286,7.09148286112097e-05,25.516,0.365759307914756,-531.741333029764,0.447762394343898,0,0,7
"DEM.VRM",1077.49362037371,1081.22695370704,7.07745292477868e-05,25.953,0.366187909985294,-531.746810186856,0.447752961678549,0,0,7
"DEM.WeatheringIndex",1077.494799831,1081.22813316433,7.07593622293931e-05,26.383,0.366233346231424,-531.7473999155,0.447751965006443,0,0,7
"DEM.Spinifex",1077.50150094542,1081.23483427875,7.06734093081822e-05,26.82,0.366490533331749,-531.750750472709,0.447746327134074,0,0,7
"Dist2Water.Spinifex.WeatheringIndex",1074.87144594139,1083.01959408954,0.00012088867121489,27.134,0.422325898538302,-527.435722970697,0.456661511713351,0,0,10
"ASCII_5kmb29.Dist2Water",1076.44008561914,1080.17341895247,0.000460556967588167,27.373,0.320936839277783,-531.220042809568,0.449100816733163,0,0,7
"Spinifex.VRM.WeatheringIndex",1076.35404198715,1084.5021901353,1.38241267853876e-05,27.649,0.32573248438157,-528.177020993574,0.456045142706168,0,0,10
"ASCII_5kmb29.DEM.Dist2Water",1077.81024287986,1085.95839102801,2.55081123863003e-05,28.098,0.295022021311054,-528.905121439929,0.448525981500085,0,0,10
"Spinifex.VRM",1077.90991084171,1081.64324417505,0.000563414236769285,28.127,0.278209481443216,-531.954955420856,0.452900604750017,0,0,7
"ASCII_5kmb29.DEM.Spinifex.WeatheringIndex",1078.05652533586,1093.22319200253,9.89160414594025e-08,28.41,0.195371868773691,-526.028262667929,0.448070423807218,0,0,13
"Dist2Water",1078.83143280507,1080.04355401719,0.00108439603496398,28.931,0.189648522865065,-535.415716402535,0.452385866928845,0,0,4
"ASCII_5kmb29.DEM.WeatheringIndex",1077.83641605362,1085.98456420177,1.75415624432125e-05,29.157,0.365761600906535,-528.91820802681,0.446815003789081,0,0,10
"ASCII_5kmb29.DEM.VRM",1077.86360125794,1086.01174940609,1.77027690993891e-05,29.259,0.365740854693523,-528.931800628971,0.446815097520359,0,0,10
"Dist2Water.VRM",1078.9074662361,1082.64079956944,0.000357827890332588,29.6,0.237067598623762,-532.453733118051,0.452735468661209,0,0,7
"ASCII_5kmb29.Spinifex.VRM.WeatheringIndex",1078.56887485758,1093.73554152425,1.54652175563895e-07,29.849,0.186555826494106,-526.284437428791,0.448569029459091,0,0,13
"Distance",1078.93405428323,1079.27691142609,0.0352741081027396,29.886,0.0696019162582757,-537.467027141614,0.455746772947513,30,3,2
"Spinifex",1080.62395478663,1081.83607599875,0.00710947194415657,31.502,0.106994389317515,-536.311977393317,0.45441029848278,6,0.6,4
"ASCII_5kmb29.DEM.Dist2Water.Spinifex",1079.18167824009,1094.34834490675,1.33100139376077e-07,31.634,0.211238474396944,-526.590839120044,0.448447669648694,0,0,13
"ASCII_5kmb29.Dist2Water.WeatheringIndex",1078.67558734369,1086.82373549183,6.51660171373635e-06,31.878,0.334734121626202,-529.337793671843,0.44929564902495,0,0,10
"ASCII_5kmb29.VRM.WeatheringIndex",1079.39016514446,1087.53831329261,1.09615862959297e-05,32.398,0.270804164520151,-529.69508257223,0.450274327853891,0,0,10
"Dist2Water.Spinifex",1081.28148405932,1085.01481739266,6.49331891054213e-05,32.859,0.198257026777234,-533.640742029661,0.452300627466332,0,0,7
"DEM.Spinifex.WeatheringIndex",1082.40548376634,1090.55363191449,5.18334526625397e-07,35.598,0.348488920813942,-531.20274188317,0.44829964125374,0,0,10
"DEM.Spinifex.VRM",1082.93301977024,1091.08116791839,4.90499631183586e-07,37.486,0.34176610873898,-531.46650988512,0.448498440015156,0,0,10
"ASCII_5kmb29.Dist2Water.VRM",1082.1401158514,1090.28826399955,2.99901635615977e-06,37.715,0.324407971561634,-531.070057925701,0.448923199741902,0,0,10
"ASCII_5kmb29.DEM.Spinifex",1083.48077592356,1091.6289240717,3.87732389047858e-07,38.46,0.365161659193137,-531.740387961778,0.447779075578032,0,0,10
"DEM.Dist2Water.Spinifex",1083.50516102329,1091.65330917143,3.85733053908999e-07,39.028,0.365971351578341,-531.752580511643,0.447762389633194,0,0,10
"DEM.Dist2Water.WeatheringIndex",1083.51057932672,1091.65872747487,3.85343131378e-07,39.466,0.366175622544062,-531.755289663359,0.447757945461494,0,0,10
"DEM.Dist2Water.VRM",1083.51566556483,1091.66381371298,3.84990251427069e-07,39.882,0.366374365164132,-531.757832782415,0.447753565493528,0,0,10
"ASCII_5kmb29.DEM.Dist2Water.VRM",1083.43764202359,1098.60430869026,5.45545918903283e-08,39.98,0.321715275415763,-528.718821011797,0.447887573328662,0,0,13
"ASCII_5kmb29.DEM.Dist2Water.WeatheringIndex",1083.97986547593,1099.1465321426,2.78883241412746e-08,40.698,0.368677425598583,-528.989932737966,0.446776412180375,0,0,13
"ASCII_5kmb29.DEM.VRM.WeatheringIndex",1084.41445240414,1099.58111907081,5.21643089637898e-08,41.846,0.260677743320123,-529.207226202071,0.449490182243895,0,0,13
"Dist2Water.Spinifex.VRM",1087.48989215534,1095.63804030349,3.77846279083646e-07,41.974,0.177254625437805,-533.74494607767,0.452392949289472,0,0,10
"ASCII_5kmb29.Dist2Water.VRM.WeatheringIndex",1086.77844541204,1101.94511207871,6.63565321593181e-09,44.777,0.293263811047604,-530.389222706022,0.449529776191889,0,0,13
"Dist2Water.VRM.WeatheringIndex",1089.67615778056,1097.82430592871,3.67453367009616e-07,44.827,0.128736106462266,-534.838078890278,0.453453623354844,0,0,10
"Dist2Water.Spinifex.VRM.WeatheringIndex",1094.92364181319,1110.09030847986,1.2647795763106e-09,48.736,0.131875963874998,-534.461820906594,0.454230957011692,0,0,13
"DEM.Dist2Water.Spinifex.WeatheringIndex",1089.19022006643,1104.35688673309,6.46816002967714e-10,48.928,0.313717096344268,-531.595110033213,0.449022138902728,0,0,13
