"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"ASCII_5kmb29.WeatheringIndex",-928.518734123644,7,1871.03746824728,1873.64211941007,0.612391829210194,0.786907954946675,-928.518734123642,0,0.741649782259117
"ASCII_5kmb29.Spinifex",-929.603997222443,7,1873.20799444488,1875.81264560767,0.347156398986879,0.751078551945596,-929.603997222442,2.17052619760011,0.250538860788107
"ASCII_5kmb29.Dist2Water.Spinifex",-929.608015756457,10,1879.21603151292,1884.71603151292,0.370821544721058,0.761656084336432,-929.608015756459,11.0739121028435,0.00292098558593004
"ASCII_5kmb29.Spinifex.WeatheringIndex",-929.71610549075,10,1879.43221098391,1884.93221098391,0.370753516745803,0.763202398796986,-929.716105491956,11.2900915738364,0.00262172199862514
"ASCII_5kmb29.Spinifex.VRM",-929.921180119799,10,1879.84236023959,1885.34236023959,0.391174510828488,0.772493530674182,-929.921180119796,11.7002408295175,0.00213561940794502
"DEM.VRM.WeatheringIndex",-932.985799756768,10,1885.97159950797,1891.47159950797,0.551257494804436,0.762900720851457,-932.985799753985,17.8294800978954,9.96727550399535e-05
"VRM.WeatheringIndex",-939.191676393437,7,1892.38335278687,1894.98800394966,0.5549029118994,0.756441325366108,-939.191676393436,21.3458845395887,1.71790419464147e-05
"ASCII_5kmb29.DEM.Spinifex.VRM",-930.599734951008,13,1887.19946990202,1897.03730773986,0.385909543522848,0.769572370928728,-930.599734951009,23.3951883297814,6.16592554481109e-06
"ASCII_5kmb29.DEM",-941.240473046312,7,1896.48094609262,1899.08559725541,0.394278574935554,0.80334973763234,-941.24047304631,25.4434778453358,2.21420516363286e-06
"ASCII_5kmb29.Dist2Water.Spinifex.VRM",-931.668745830118,13,1889.33749166023,1899.17532949807,0.340913366228375,0.747993002133428,-931.668745830116,25.5332100879955,2.11705797062891e-06
"ASCII_5kmb29.Dist2Water.Spinifex.WeatheringIndex",-931.683990908148,13,1889.36798189439,1899.20581973223,0.3121926417614,0.733076194345664,-931.683990947194,25.5637003221509,2.08502794509968e-06
"DEM",-945.658957286653,4,1899.31791457331,1900.1874797907,0.394321051586919,0.811748137228729,-945.658957286653,26.5453603806225,1.27628335951019e-06
"Dist2Water.WeatheringIndex",-942.052791794765,7,1898.10558358953,1900.71023475232,0.451418304486564,0.708969274032176,-942.052791794767,27.068115342249,9.82725689736366e-07
"ASCII_5kmb29.VRM",-942.283873117934,7,1898.56774623587,1901.17239739867,0.272411270868181,0.704388903256251,-942.283873117937,27.5302779885903,7.79964732446214e-07
