"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"VRM",4042.47501214807,4042.90979475676,0.728594601660564,1.441,0.198837645145022,-2017.23750607403,0.349152951244787,926,92.6,4
"FF.VRM",4048.38555060425,4049.64397757054,0.0250032127844145,4.089,0.196059505355629,-2017.19277530213,0.349162512716741,0,0,7
"SOMO31.VRM",4048.39570425985,4049.65413122614,0.0248846165091526,6.015,0.196141992051859,-2017.19785212992,0.349162414884831,0,0,7
"SPIN.VRM",4048.39347943632,4049.65190640261,0.0248988927609318,6.03,0.196040817405418,-2017.19673971816,0.34916286353674,0,0,7
"Silt.VRM",4048.39574728586,4049.65417425215,0.0248780188752461,6.508,0.196103388424818,-2017.19787364293,0.349162621755497,0,0,7
"VRM.WAT",4048.39791757488,4049.65634454117,0.0248588348798267,7.168,0.196160011599129,-2017.19895878744,0.349162401782588,0,0,7
"VRM.WII",4048.3985512035,4049.65697816979,0.0248534266969267,7.368,0.196175736476089,-2017.19927560175,0.349162340370885,0,0,7
"DEM.VRM",4048.40215948383,4049.66058645013,0.0248219245370625,7.567,0.196268861619454,-2017.20107974192,0.34916198032672,0,0,7
"FF.VRM.WII",4053.77490241705,4056.33304195193,0.000969892353213754,16.564,0.178744351820991,-2016.88745120852,0.349223155150234,0,0,10
"DEM.FF.VRM",4054.23188817203,4056.79002770692,0.000711772673785971,18.397,0.18811204603133,-2017.11594408602,0.349194123467433,0,0,10
"FF.Silt.VRM",4054.23241779747,4056.79055733235,0.000711625985533983,18.604,0.18812140919592,-2017.11620889873,0.349194084956068,0,0,10
"FF.SOMO31.VRM",4054.22770310213,4056.78584263701,0.000713183452053572,19.006,0.187994378189738,-2017.11385155106,0.349194616777425,0,0,10
"SOMO31.SPIN.VRM",4054.18725466997,4056.74539420485,0.000744730945486251,20.528,0.183921084323886,-2017.09362733498,0.349212598846881,0,0,10
"VRM.WAT.WII",4054.71109363048,4057.26923316536,0.000992085492294776,21.589,0.156099489107107,-2017.35554681524,0.349363322208312,0,0,10
"DEM.SPIN.VRM",4054.23681339193,4056.79495292682,0.000709806724162617,21.748,0.188008349231212,-2017.11840669597,0.349194839528547,0,0,10
"FF.VRM.WAT",4054.2396414522,4056.79778098709,0.000709392291585381,22.123,0.188298226471213,-2017.1198207261,0.349193357924897,0,0,10
"Silt.SOMO31.VRM",4054.23993240417,4056.79807193905,0.000708828452196803,22.263,0.188136926625934,-2017.11996620208,0.349194243492748,0,0,10
"SOMO31.VRM.WAT",4054.80496516766,4057.36310470255,0.0009715383481083,22.274,0.154254240216259,-2017.40248258383,0.349373350525411,0,0,10
"DEM.VRM.WAT",4054.23941396239,4056.79755349728,0.000708913099098276,22.433,0.188085389456612,-2017.1197069812,0.349194515244679,0,0,10
"DEM.SOMO31.VRM",4054.2401370596,4056.79827659448,0.000708778754859005,22.49,0.188139372370832,-2017.1200685298,0.349194233590353,0,0,10
"FF.SPIN.VRM",4054.9019484513,4057.46008798618,0.000892957454409321,22.972,0.155582558996995,-2017.45097422565,0.34936409744833,0,0,10
"SOMO31.VRM.WII",4054.24237899648,4056.80051853136,0.000708105505074784,23.222,0.188190496334253,-2017.12118949824,0.349194022262506,0,0,10
"Silt.SPIN.VRM",4054.24096485226,4056.79910438715,0.000708414603836211,23.326,0.188125806673547,-2017.12048242613,0.349194346290125,0,0,10
"SPIN.VRM.WII",4054.24098481575,4056.79912435063,0.000708403482291322,23.537,0.188127197144934,-2017.12049240787,0.349194340413384,0,0,10
"DEM.Silt.VRM",4054.47076176942,4057.02890130431,0.000694336633818136,23.873,0.177185317632408,-2017.23538088471,0.349251001763371,0,0,10
