"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"VRM",-3537.41892658923,4,7082.83785317845,7083.15785317845,0.208873718981498,0.764002360946313,-3537.41892658923,0,0.785388895897542
"FF.VRM",-3537.42552337713,7,7088.85104675427,7089.76907954116,0.205746412068896,0.762406082662479,-3537.42552337714,6.61122636270466,0.028805485061791
"SOMO31.VRM",-3537.43147812366,7,7088.86295624731,7089.7809890342,0.205838914510744,0.762458017825286,-3537.43147812366,6.62313585574429,0.0286344653946003
"Silt.VRM",-3537.43279885819,7,7088.86559771637,7089.78363050325,0.205796257080139,0.762434901703237,-3537.43279885818,6.62577732480077,0.0285966718305823
"VRM.WAT",-3537.43281735493,7,7088.86563470983,7089.78366749671,0.205859106770495,0.762468960515335,-3537.43281735491,6.62581431826038,0.0285961428905619
"VRM.WII",-3537.43284399728,7,7088.86568799454,7089.78372078143,0.20587653340242,0.762478477446897,-3537.43284399727,6.62586760297745,0.0285953810320192
"SPIN.VRM",-3537.43286936255,7,7088.86573872513,7089.78377151202,0.205726685111646,0.762397520065795,-3537.43286936257,6.6259183335651,0.0285946557109764
"DEM.VRM",-3537.43291081779,7,7088.86582163562,7089.7838544225,0.205979918538506,0.762534474189366,-3537.43291081781,6.6260012440498,0.028593470337164
"FF.VRM.WII",-3537.44057664112,10,7094.88115328304,7096.72989277884,0.186419645347491,0.75226484899601,-3537.44057664152,13.572039600389,0.000887061648972913
"DEM.FF.VRM",-3537.53742147926,10,7095.07484295845,7096.92358245425,0.196863281937549,0.757818337613797,-3537.53742147923,13.7657292757967,0.00080518305169492
"FF.Silt.VRM",-3537.53754764863,10,7095.07509529728,7096.92383479308,0.196873494756418,0.757824367111042,-3537.53754764864,13.7659816146252,0.000805081468629424
"FF.SOMO31.VRM",-3537.53773340789,10,7095.07546681581,7096.92420631161,0.196733700025901,0.757746145137715,-3537.5377334079,13.7663531331564,0.000804931931176473
"FF.VRM.WAT",-3537.53784244637,10,7095.07568489271,7096.92442438851,0.197067965409139,0.757933747567842,-3537.53784244635,13.7665712100561,0.00080484416743135
"Silt.SOMO31.VRM",-3537.54341148534,10,7095.08682297072,7096.93556246651,0.196891507566334,0.757836120565908,-3537.54341148536,13.7777092880633,0.000800374416531788
"DEM.SOMO31.VRM",-3537.54349502997,10,7095.08699005992,7096.93572955571,0.196894140326014,0.75783779499694,-3537.54349502996,13.7778763772621,0.000800307552364882
"SOMO31.VRM.WII",-3537.54369133816,10,7095.08738267631,7096.93612217211,0.196950255152465,0.757869713565026,-3537.54369133815,13.7782689936557,0.000800150460852079
"SPIN.VRM.WII",-3537.54467275727,10,7095.08934551456,7096.93808501036,0.196881027521315,0.7578300828316,-3537.54467275728,13.78023183191,0.000799365563105048
"Silt.SPIN.VRM",-3537.54469881943,10,7095.08939763885,7096.93813713465,0.196879479932545,0.75782927540915,-3537.54469881942,13.7802839561964,0.000799344730196745
"DEM.VRM.WAT",-3537.54471832315,10,7095.08943664631,7096.93817614211,0.196835024774139,0.757804318228847,-3537.54471832315,13.7803229636538,0.000799329140146015
"Silt.VRM.WII",-3537.54475551956,10,7095.08951103917,7096.93825053497,0.1969076119481,0.757845208801605,-3537.54475551959,13.7803973565206,0.000799299408505874
