"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"VRM",-3537.41892658923,4,7082.83785317845,7083.15785317845,0.208873718981498,0.764002360946313,-3537.41892658923
"Silt",-3567.14330851371,4,7142.28661702743,7142.60661702743,0.0566792300083621,0.679836738866066,-3567.14330851371
"WAT",-3571.79094426945,4,7151.58188853889,7151.90188853889,0.0374330473529005,0.657641898482173,-3571.79094426945
"SOMO31",-3573.29743044313,4,7154.5948608872,7154.9148608872,0.0445857443571262,0.66941833381911,-3573.2974304436
"FF",-3579.50425660848,4,7167.00851321696,7167.32851321696,0.042193242534513,0.652450196268508,-3579.50425660848
"Distance",-3582.33753246794,2,7168.67506493587,7168.76955312485,0.0110289719990575,0.656367828557816,-3582.33753246794
"WII",-3580.74626385255,4,7169.4925277051,7169.8125277051,0.0127067623005068,0.654829259361687,-3580.74626385255
"SPIN",-3581.59861866337,4,7171.19723732674,7171.51723732674,0.0128258709243036,0.661308436484998,-3581.59861866337
"DEM",-3582.33295427549,4,7172.66590855087,7172.98590855087,0.0111300403785322,0.65639337902256,-3582.33295427543
"Null",-3664.05675598704,1,7330.11351197407,7330.14476197407,0,0.653799638628997,-3664.05675598704
