id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion
DEC01797,Port Hedland 5,-22.31,119.99,30/4/2001,2001,M,Ningaui timealeyi,Nt,WAM_M48882,Chichester
DEC01800,Port Hedland,-21.4483,118.9233,18/11/2001,2001,M,Ningaui timealeyi,Nt,WAM_M49522,Chichester
DEC01803,Newman 3,-22.9397,118.8656,2/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55292,Hamersley
DEC01804,Tom Price,-22.75,117.7667,6/11/1996,1996,M,Ningaui timealeyi,Nt,WAM_M47330,Hamersley
DEC01806,Newman 2,-23.3227,119.4489,21/6/1997,1997,NA,Ningaui timealeyi,Nt,WAM_M47667,Hamersley
DEC01807,Millstream,-21.6683,117.4369,7/7/1997,1997,M,Ningaui timealeyi,Nt,WAM_M47726,Chichester
DEC01808,Newman,-22.9166,118.9,19/6/2005,2005,F,Ningaui timealeyi,Nt,WAM_M47492b,Hamersley
DEC01809,Pannawonica,-21.6833,116.3833,16/5/1994,1994,M,Ningaui timealeyi,Nt,WAM_M44942,Chichester
DEC01811,Cane River 2,-22.1686,115.5722,7/5/1999,1999,M,Ningaui timealeyi,Nt,WAM_M48583,Hamersley
DEC01812,Cane River,-22.2694,115.6422,4/5/1999,1999,M,Ningaui timealeyi,Nt,WAM_M48531,Hamersley
DEC01814,Mount Leal,-21.8747,117.3258,22/9/1999,1999,M,Ningaui timealeyi,Nt,WAM_M51360,Hamersley
DEC01815,Cape Preston 2,-21.0438,116.1872,18/4/2000,2000,M,Ningaui timealeyi,Nt,WAM_M52360,Roebourne
DEC01816,Cape Preston,-21.0658,116.1492,18/4/2000,2000,M,Ningaui timealeyi,Nt,WAM_M52361,Roebourne
DEC01822,Newman,-22.9344,118.895,2/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55286,Hamersley
DEC01823,Newman,-22.9402,118.9031,3/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55288,Hamersley
DEC01824,Newman 3,-22.9383,118.8628,4/6/2004,2004,M,Ningaui timealeyi,Nt,WAM_M55290,Hamersley
DEC02090,Port Hedland 10,-21.01,118.7,3/5/2001,2001,F,Ningaui timealeyi,Nt,WAM_M48897,Chichester
