"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"DEC01716","DEC01795",0.4229,"F","Yandicoogina 2",1996,"F","Yandicoogina 2",1996
"DEC01717","DEC01721",0.4352,"F","Yandicoogina 2",1996,"F","Yandicoogina 2",1996
"DEC01717","DEC01729",0.34,"F","Yandicoogina 2",1996,"F","Yandicoogina 2",1996
"DEC01720","DEC01727",0.2856,"M","Yandicoogina 2",1996,"F","Yandicoogina 2",1996
"DEC01723","DEC01732",0.445,"F","Yandicoogina 2",1996,"M","Yandicoogina 2",1996
"DEC01727","DEC01795",0.4401,"F","Yandicoogina 2",1996,"F","Yandicoogina 2",1996
"DEC01730","DEC01794",0.4881,"M","Yandicoogina 2",1996,"M","Yandicoogina 2",1996
"DEC01734","DEC01793",0.4419,NA,"Yandicoogina 1",1996,NA,"Yandicoogina 1",1996
"DEC01759","DEC02432",0.2402,NA,"Mount Mckay",2004,NA,"Mount Mckay",2005
"DEC01774","DEC01785",0.4849,"M","Newman 7",1996,"F","Newman 2",NA
"DEC01774","DEC01786",0.3264,"M","Newman 7",1996,NA,"Newman 2",NA
"DEC01774","DEC01789",0.2915,"M","Newman 7",1996,NA,"Newman 2",NA
"DEC01785","DEC01786",0.462,"F","Newman 2",NA,NA,"Newman 2",NA
"DEC01785","DEC01789",0.4727,"F","Newman 2",NA,NA,"Newman 2",NA
"DEC01786","DEC01789",0.3744,NA,"Newman 2",NA,NA,"Newman 2",NA
"DEC01961","DEC02450",0.4684,NA,"Mount Marsh",2004,NA,"Mount Marsh",2005
"DEC02437","DEC02449",0.4224,NA,"Mount Mckay",2004,NA,"Mount Mckay",2004
"DEC02438","DEC02448",0.4729,NA,"Paraburdoo",2006,NA,"Paraburdoo",2006
"DEC02441","DEC02444",0.4489,NA,"Peedamulla",2006,NA,"Peedamulla",2006
