Chrom_Mouse_v38p4,RefSeq_Accession,Chromosome,Start,Stop,Notes
NC_000067.6_C57BL/6J_chromosome_1_GRCm38.p3_C57BL/6J,NC_000067.6,1,0,195471971,I'm assuming this is the length of the full chromosome (from start to end)
NC_000068.7_C57BL/6J_chromosome_2_GRCm38.p3_C57BL/6J,NC_000068.7,2,0,182113224,I'm assuming this is the length of the full chromosome (from start to end)
NC_000069.6_C57BL/6J_chromosome_3_GRCm38.p3_C57BL/6J,NC_000069.6,3,0,160039680,I'm assuming this is the length of the full chromosome (from start to end)
NC_000070.6_C57BL/6J_chromosome_4_GRCm38.p3_C57BL/6J,NC_000070.6,4,0,156508116,I'm assuming this is the length of the full chromosome (from start to end)
NC_000071.6_C57BL/6J_chromosome_5_GRCm38.p3_C57BL/6J,NC_000071.6,5,0,151834684,I'm assuming this is the length of the full chromosome (from start to end)
NC_000072.6_C57BL/6J_chromosome_6_GRCm38.p3_C57BL/6J,NC_000072.6,6,0,149736546,I'm assuming this is the length of the full chromosome (from start to end)
NC_000073.6_C57BL/6J_chromosome_7_GRCm38.p3_C57BL/6J,NC_000073.6,7,0,145441459,I'm assuming this is the length of the full chromosome (from start to end)
NC_000074.6_C57BL/6J_chromosome_8_GRCm38.p3_C57BL/6J,NC_000074.6,8,0,129401213,I'm assuming this is the length of the full chromosome (from start to end)
NC_000075.6_C57BL/6J_chromosome_9_GRCm38.p3_C57BL/6J,NC_000075.6,9,0,124595110,I'm assuming this is the length of the full chromosome (from start to end)
NC_000076.6_C57BL/6J_chromosome_10_GRCm38.p3_C57BL/6J,NC_000076.6,10,0,130694993,I'm assuming this is the length of the full chromosome (from start to end)
NC_000077.6_C57BL/6J_chromosome_11_GRCm38.p3_C57BL/6J,NC_000077.6,11,0,122082543,I'm assuming this is the length of the full chromosome (from start to end)
NC_000078.6_C57BL/6J_chromosome_12_GRCm38.p3_C57BL/6J,NC_000078.6,12,0,120129022,I'm assuming this is the length of the full chromosome (from start to end)
NC_000079.6_C57BL/6J_chromosome_13_GRCm38.p3_C57BL/6J,NC_000079.6,13,0,120421639,I'm assuming this is the length of the full chromosome (from start to end)
NC_000080.6_C57BL/6J_chromosome_14_GRCm38.p3_C57BL/6J,NC_000080.6,14,0,124902244,I'm assuming this is the length of the full chromosome (from start to end)
NC_000081.6_C57BL/6J_chromosome_15_GRCm38.p3_C57BL/6J,NC_000081.6,15,0,104043685,I'm assuming this is the length of the full chromosome (from start to end)
NC_000082.6_C57BL/6J_chromosome_16_GRCm38.p3_C57BL/6J,NC_000082.6,16,0,98207768,I'm assuming this is the length of the full chromosome (from start to end)
NC_000083.6_C57BL/6J_chromosome_17_GRCm38.p3_C57BL/6J,NC_000083.6,17,0,94987271,I'm assuming this is the length of the full chromosome (from start to end)
NC_000084.6_C57BL/6J_chromosome_18_GRCm38.p3_C57BL/6J,NC_000084.6,18,0,90702639,I'm assuming this is the length of the full chromosome (from start to end)
NC_000085.6_C57BL/6J_chromosome_19_GRCm38.p3_C57BL/6J,NC_000085.6,19,0,61431566,I'm assuming this is the length of the full chromosome (from start to end)
NC_000086.7_C57BL/6J_chromosome_X_GRCm38.p3_C57BL/6J,NC_000086.7,X,0,171031299,I'm assuming this is the length of the full chromosome (from start to end)
NC_000087.7_C57BL/6J_chromosome_Y_GRCm38.p3_C57BL/6J,NC_000087.7,Y,0,91744698,I'm assuming this is the length of the full chromosome (from start to end)
NT_039192.2_129S6/SvEvTac_chromosome_1_129S6/SvEvTac_129S6/SVEVTAC_MMCHR1_CTG3,NT_039192.2,1,133239136,133489442,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039195.1_129X1/SvJ_chromosome_1_129X1/SvJ_129X1/SVJ_MMCHR1_CTG2,NT_039195.1,1,173701136,174051183,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039247.2_NOD/MrkTac_chromosome_3_NOD/MrkTac_MMCHR3_NODMRKTAC_CTG1,NT_039247.2,3,36806723,37563603,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039252.1_NOD/MrkTac_chromosome_3_NOD/MrkTac_MMCHR3_NOD_IDD3_1,NT_039252.1,3,36806723,37563603,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039256.1_129S1/SvImJ_chromosome_3_129S1/SvImJ_129S1/SVIMJ_MMCHR3_CTG2,NT_039256.1,3,36806723,37563603,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039291.1_129S6/SvEvTac_chromosome_4_129S6/SvEvTac_129S6/SVEVTAC_MMCHR4_CTG1,NT_039291.1,4,144179444,144348902,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039372.2_129X1/SvJ_chromosome_6_129X1/SvJ_129X1/SVJ_MMCHR6_CTG1,NT_039372.2,6,82734575,83039841,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039382.4_129S1/SvImJ_chromosome_6_129S1/SvImJ_129S1/SVIMJ_MMCHR6_CTG5,NT_039382.4,6,120377222,121015201,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
NT_039469.1_129S6/SvEvTac_chromosome_8_129S6/SvEvTac_129S6/SVEVTAC_MMCHR8_CTG1,NT_039469.1,8,41292834,41482533,I think these are alternates from other strains? I'm assuming they fall within the main contigs above
